filename,model,people,priors
aaaa,3.67E-20,2.532666667,-2.27E-23
abkj,1.37E-28,4.385333333,-8.34E-32
aeea,5.23E-20,2.975666667,-3.22E-23
akdo,5.47E-29,5.017666667,-3.32E-32
akil,9.22E-32,4.93,-5.60E-35
eaea,1.59E-20,3.765333333,-9.72E-24
ebah,9.40E-26,5.082666667,-5.70E-29
ebjn,6.40E-28,4.169,-3.90E-31
eeee,7.64E-18,2.850666667,-4.71E-21
iaci,2.91E-24,3.838333333,-1.78E-27
iacm,3.21E-26,3.394666667,-1.97E-29
ibla,1.13E-27,4.511333333,-6.87E-31
ibli,1.47E-29,4.583,-8.94E-33
iffa,9.23E-22,3.473,-5.65E-25
ifgp,2.11E-26,4.991,-1.28E-29
ifif,7.78E-24,4.223,-4.74E-27
ihep,1.77E-29,4.992,-1.07E-32
ihpe,2.08E-28,4.268333333,-1.27E-31
indd,1.63E-25,3.874,-9.95E-29
inin,5.85E-30,5.143666667,-3.55E-33
inpi,4.62E-31,4.423333333,-2.81E-34
ipan,8.11E-29,4.273,-4.94E-32
ipff,3.13E-25,3.819666667,-1.91E-28
