filename,generated_action_lists_len25_d_results_10tries/.marginal_probability
inpi,1.8679903551589999e-10
ebjn,2.6566694411810002e-09
ibla,1.8792559117289999e-10
ibli,1.8793222011890001e-10
abkj,1.9364430805260001e-09
ifif,1.9328290286239998e-10
akdo,1.9364054221910002e-09
ihep,1.8517672217859999e-10
ifgp,1.879566603633e-10
inin,1.859636580894e-10
iaci,6.3657078813229991e-10
iacm,6.4701588780280005e-10
ipff,2.002222722597e-10
ihpe,1.8678569145240003e-10
aeea,2.261591187316e-07
eaea,2.1269587287370001e-07
eeee,8.5819288965670013e-07
aaaa,2.2021573012209999e-05
ipan,1.867664386762e-10
indd,2.9240689210909997e-10
iffa,1.0906126672905e-08
akil,1.9364070133340003e-09
ebah,2.6658922276409996e-09
